调仓日,方向,代码,名称,参考价(元),手数(手),股数(股),金额(元),手续费(元),调仓原因
2020-07-16,买入,603718,*ST海利,33.83,5,500,16915.0,21.14,纳入持仓池
2020-07-16,持有,300677,英科医疗,158.0,--,--,--,--,继续持有
2020-07-16,持有,688399,硕世生物,374.0,--,--,--,--,继续持有
2020-07-16,持有,600859,王府井,61.74,--,--,--,--,继续持有
2020-07-16,持有,002581,*ST未名,24.99,--,--,--,--,继续持有
2020-07-16,持有,300293,蓝英装备,28.1,--,--,--,--,继续持有
2020-07-16,持有,603301,振德医疗,73.09,--,--,--,--,继续持有
2020-07-16,持有,002791,坚朗五金,110.85,--,--,--,--,继续持有
2020-07-16,持有,002838,道恩股份,32.68,--,--,--,--,继续持有
2020-07-16,持有,002400,省广集团,9.33,--,--,--,--,继续持有
2020-07-16,持有,002541,鸿路钢构,30.79,--,--,--,--,继续持有
2020-07-16,持有,002847,盐津铺子,99.05,--,--,--,--,继续持有
2020-07-16,持有,688019,安集科技,364.07,--,--,--,--,继续持有
2020-07-16,持有,603713,密尔克卫,107.6,--,--,--,--,继续持有
2020-07-16,持有,002603,以岭药业,30.01,--,--,--,--,继续持有
2020-07-16,持有,300453,三鑫医疗,19.53,--,--,--,--,继续持有
2020-07-31,卖出,002973,侨银股份,26.21,7,700,18347.0,22.93,移出持仓池
2020-07-31,卖出,002838,道恩股份,32.44,6,600,19464.0,24.33,移出持仓池
2020-07-31,卖出,000903,ST云动,6.94,28,2800,19432.0,24.29,移出持仓池
2020-07-31,卖出,002847,盐津铺子,104.62,1,100,10462.0,13.08,移出持仓池
2020-07-31,卖出,002239,奥特佳,5.41,36,3600,19476.0,24.34,移出持仓池
2020-07-31,卖出,688019,安集科技,436.93,0,0,0.0,0.0,移出持仓池
2020-07-31,卖出,002065,东华软件,19.89,10,1000,19890.0,24.86,移出持仓池
2020-07-31,卖出,600827,百联股份,19.89,10,1000,19890.0,24.86,移出持仓池
2020-07-31,卖出,002603,以岭药业,31.84,6,600,19104.0,23.88,移出持仓池
2020-07-31,卖出,002382,蓝帆医疗,31.19,6,600,18714.0,23.39,移出持仓池
2020-07-31,卖出,300453,三鑫医疗,22.48,8,800,17984.0,22.48,移出持仓池
2020-07-31,卖出,688111,金山办公,392.99,0,0,0.0,0.0,移出持仓池
2020-07-31,买入,300171,东富龙,25.6,7,700,17920.0,22.4,纳入持仓池
2020-07-31,买入,600988,赤峰黄金,18.3,10,1000,18300.0,22.88,纳入持仓池
2020-07-31,买入,002286,保龄宝,18.9,10,1000,18900.0,23.62,纳入持仓池
2020-07-31,买入,300122,智飞生物,186.0,1,100,18600.0,23.25,纳入持仓池
2020-07-31,买入,601888,中国中免,243.0,0,0,0.0,0.0,纳入持仓池
2020-07-31,买入,000698,ST沈化,9.98,20,2000,19960.0,24.95,纳入持仓池
2020-07-31,买入,300298,三诺生物,45.3,4,400,18120.0,22.65,纳入持仓池
2020-07-31,买入,300142,沃森生物,80.86,2,200,16172.0,20.21,纳入持仓池
2020-07-31,买入,300143,盈康生命,25.16,7,700,17612.0,22.02,纳入持仓池
2020-07-31,买入,002626,金达威,58.62,3,300,17586.0,21.98,纳入持仓池
2020-07-31,买入,603378,*ST亚士,72.31,2,200,14462.0,18.08,纳入持仓池
2020-07-31,买入,300390,天华新能,19.28,10,1000,19280.0,24.1,纳入持仓池
2020-07-31,持有,300677,英科医疗,171.7,--,--,--,--,继续持有
2020-07-31,持有,603976,正川股份,92.88,--,--,--,--,继续持有
2020-07-31,持有,600211,西藏药业,155.72,--,--,--,--,继续持有
2020-07-31,持有,688399,硕世生物,400.0,--,--,--,--,继续持有
2020-07-31,持有,600859,王府井,61.23,--,--,--,--,继续持有
2020-07-31,持有,002541,鸿路钢构,46.28,--,--,--,--,继续持有
2020-07-31,持有,002791,坚朗五金,147.16,--,--,--,--,继续持有
2020-07-31,持有,000011,深物业A,24.29,--,--,--,--,继续持有
2020-07-31,持有,603069,海汽集团,48.4,--,--,--,--,继续持有
2020-07-31,持有,603301,振德医疗,90.2,--,--,--,--,继续持有
2020-07-31,持有,603718,*ST海利,49.12,--,--,--,--,继续持有
2020-07-31,持有,002581,*ST未名,23.78,--,--,--,--,继续持有
2020-07-31,持有,603713,密尔克卫,125.19,--,--,--,--,继续持有
2020-07-31,持有,600127,金健米业,12.31,--,--,--,--,继续持有
2020-07-31,持有,300293,蓝英装备,25.4,--,--,--,--,继续持有
2020-07-31,持有,300206,理邦仪器,23.49,--,--,--,--,继续持有
2020-07-31,持有,002400,省广集团,9.01,--,--,--,--,继续持有
2020-07-31,持有,600185,珠免集团,13.25,--,--,--,--,继续持有
2020-08-17,卖出,002791,坚朗五金,139.45,1,100,13945.0,17.43,移出持仓池
2020-08-17,卖出,300171,东富龙,21.12,9,900,19008.0,23.76,移出持仓池
2020-08-17,卖出,603301,振德医疗,84.98,2,200,16996.0,21.25,移出持仓池
2020-08-17,卖出,300122,智飞生物,146.68,1,100,14668.0,18.34,移出持仓池
2020-08-17,卖出,603718,*ST海利,36.14,5,500,18070.0,22.59,移出持仓池
2020-08-17,卖出,002581,*ST未名,22.46,8,800,17968.0,22.46,移出持仓池
2020-08-17,卖出,601888,中国中免,207.2,0,0,0.0,0.0,移出持仓池
2020-08-17,卖出,000698,ST沈化,7.99,25,2500,19975.0,24.97,移出持仓池
2020-08-17,卖出,300298,三诺生物,39.73,5,500,19865.0,24.83,移出持仓池
2020-08-17,卖出,300206,理邦仪器,21.22,9,900,19098.0,23.87,移出持仓池
2020-08-17,卖出,300142,沃森生物,74.45,2,200,14890.0,18.61,移出持仓池
2020-08-17,卖出,300143,盈康生命,22.54,8,800,18032.0,22.54,移出持仓池
2020-08-17,卖出,002626,金达威,47.29,4,400,18916.0,23.64,移出持仓池
2020-08-17,卖出,603378,*ST亚士,71.38,2,200,14276.0,17.84,移出持仓池
2020-08-17,卖出,300390,天华新能,17.08,11,1100,18788.0,23.48,移出持仓池
2020-08-17,买入,603290,斯达半导,214.5,0,0,0.0,0.0,纳入持仓池
2020-08-17,买入,002163,海南发展,22.84,8,800,18272.0,22.84,纳入持仓池
2020-08-17,买入,603893,瑞芯微,90.84,2,200,18168.0,22.71,纳入持仓池
