date,nav
2021-01-04,1.0
2021-01-05,1.0
2021-01-06,1.0
2021-01-07,1.0
2021-01-08,1.0
2021-01-11,1.0
2021-01-12,1.0
2021-01-13,1.0
2021-01-14,1.0
2021-01-15,1.0
2021-01-18,1.0
2021-01-19,1.0
2021-01-20,1.0
2021-01-21,1.0
2021-01-22,1.0
2021-01-25,1.0
2021-01-26,1.0
2021-01-27,1.0
2021-01-28,1.0
2021-01-29,1.0
2021-02-01,1.0
2021-02-02,1.0
2021-02-03,1.0
2021-02-04,1.0
2021-02-05,1.0
2021-02-08,1.0
2021-02-09,1.0
2021-02-10,1.0
2021-02-18,1.0
2021-02-19,1.0
2021-02-22,1.0
2021-02-23,1.0
2021-02-24,1.0
2021-02-25,1.0
2021-02-26,1.0
2021-03-01,1.0
2021-03-02,1.0
2021-03-03,1.0
2021-03-04,1.0
2021-03-05,0.99875
2021-03-08,0.9917019522164495
2021-03-09,0.9107133315456518
2021-03-10,0.8893973950627337
2021-03-11,0.926250787264387
2021-03-12,0.9162406701876382
2021-03-15,0.8989860832537833
2021-03-16,0.9037191602166227
2021-03-17,0.8827439412374462
2021-03-18,0.8754386241988378
2021-03-19,0.8685460013902414
2021-03-22,0.9118169279552788
2021-03-23,0.9143922542294652
2021-03-24,0.9460060085016929
2021-03-25,0.8873017780928093
2021-03-26,0.8394955229487169
2021-03-29,0.8736186886133728
2021-03-30,0.8850517129962595
2021-03-31,0.8900635287878291
2021-04-01,0.8657581738578864
2021-04-02,0.9094825459181292
2021-04-06,0.938280213310652
2021-04-07,0.9704601151639765
2021-04-08,0.9136653405906584
2021-04-09,0.8674176526998982
2021-04-12,0.9062434740044798
2021-04-13,0.8403536132411787
2021-04-14,0.8512055216841411
2021-04-15,0.8255196983291362
2021-04-16,0.86531218641353
2021-04-19,0.8667798616829965
2021-04-20,0.865234640722172
2021-04-21,0.8689216473878588
2021-04-22,0.8792219965329265
2021-04-23,0.8681819193881154
2021-04-26,0.8648167330835067
2021-04-27,0.8718617876127857
2021-04-28,0.8749504847529
2021-04-29,0.870270762865017
2021-04-30,0.8760804971618182
2021-05-06,0.8605752867969533
2021-05-07,0.8684585851340972
2021-05-10,0.940229831487384
2021-05-11,0.9371029670312706
2021-05-12,0.9320665515210123
2021-05-13,0.8552706285223057
2021-05-14,0.8542015402366528
2021-05-17,0.8513583495442292
2021-05-18,0.8590449642710343
2021-05-19,0.8498378887368643
2021-05-20,0.8096066009516217
2021-05-21,0.7688716219156794
2021-05-24,0.7754238030633497
2021-05-25,0.798627504635604
2021-05-26,0.8189373905544615
2021-05-27,0.8365059558932393
2021-05-28,0.8330168318518543
2021-05-31,0.8469415753970293
2021-06-01,0.8210325155748516
2021-06-02,0.7724165133948593
2021-06-03,0.7803899973762252
2021-06-04,0.7883025765275015
2021-06-07,0.7920604821542838
2021-06-08,0.7803767246632825
2021-06-09,0.7795279691969076
2021-06-10,0.7552869443383602
2021-06-11,0.7344571224728151
2021-06-15,0.7230378505733526
2021-06-16,0.7007109294992869
2021-06-17,0.7238064331603727
2021-06-18,0.7443772525271306
2021-06-21,0.7674837038977446
2021-06-22,0.736610945718312
2021-06-23,0.7603996132293241
2021-06-24,0.7346727268467238
2021-06-25,0.7346760277142246
2021-06-28,0.7163214288656881
2021-06-29,0.721710966156684
2021-06-30,0.7280737089503274
2021-07-01,0.7068130462377692
2021-07-02,0.6977246429001798
2021-07-05,0.7380370651240787
2021-07-06,0.7200313883062148
2021-07-07,0.7508953462562425
