date,nav
2019-01-02,1.0000793650793651
2019-01-03,1.0001587364575462
2019-01-04,1.000238114135043
2019-01-07,1.0003174981123553
2019-01-08,1.0003968883899832
2019-01-09,1.000476284968427
2019-01-10,1.0005556878481865
2019-01-11,1.0006350970297617
2019-01-14,1.000714512513653
2019-01-15,1.0007939343003605
2019-01-16,1.0008733623903843
2019-01-17,1.0009527967842249
2019-01-18,1.0010322374823823
2019-01-21,1.0011116844853571
2019-01-22,1.0011911377936498
2019-01-23,1.0012705974077605
2019-01-24,1.0013500633281898
2019-01-25,1.0014295355554381
2019-01-28,1.001509014090006
2019-01-29,1.0015884989323942
2019-01-30,1.0016679900831031
2019-01-31,1.0017474875426335
2019-02-01,1.0018269913114861
2019-02-11,1.0019065013901616
2019-02-12,1.0019860177791609
2019-02-13,1.0020655404789847
2019-02-14,1.002145069490134
2019-02-15,1.0022246048131094
2019-02-18,1.0023041464484121
2019-02-19,1.002383694396543
2019-02-20,1.002463248658003
2019-02-21,1.0025428092332933
2019-02-22,1.002622376122915
2019-02-25,1.0027019493273692
2019-02-26,1.002781528847157
2019-02-27,1.00286111468278
2019-02-28,1.002940706834739
2019-03-01,1.0030203053035354
2019-03-04,1.0030999100896707
2019-03-05,1.003179521193646
2019-03-06,1.003259138615963
2019-03-07,1.003338762357123
2019-03-08,1.0034183924176276
2019-03-11,1.0034980287979782
2019-03-12,1.0035776714986766
2019-03-13,1.0036573205202242
2019-03-14,1.0037369758631227
2019-03-15,1.0038166375278739
2019-03-18,1.0038963055149792
2019-03-19,1.0039759798249408
2019-03-20,1.0040556604582602
2019-03-21,1.0041353474154395
2019-03-22,1.0042150406969805
2019-03-25,1.004294740303385
2019-03-26,1.0043744462351551
2019-03-27,1.0044541584927928
2019-03-28,1.0045338770768002
2019-03-29,1.0046136019876795
2019-04-01,1.0046933332259325
2019-04-02,1.0047730707920615
2019-04-03,1.0048528146865687
2019-04-04,1.0049325649099565
2019-04-08,1.0050123214627271
2019-04-09,1.005092084345383
2019-04-10,1.0051718535584264
2019-04-11,1.0052516291023597
2019-04-12,1.0053314109776852
2019-04-15,1.0054111991849057
2019-04-16,1.0054909937245236
2019-04-17,1.0055707945970414
2019-04-18,1.0056506018029618
2019-04-19,1.0057304153427875
2019-04-22,1.005810235217021
2019-04-23,1.0058900614261652
2019-04-24,1.005969893970723
2019-04-25,1.0060497328511968
2019-04-26,1.00612957806809
